"Município";"id_orgao";"Órgão";"Categoria da Receita";"Origem da Receita";"2012";"2013";"2014"
"Taquaritinga";"";"Instituto De Previdência Do Servidor Municipal";"Receitas Correntes";"Outras Receitas Correntes";"774.964,41";"955.887,99";"1.225.473,29"
"Taquaritinga";"";"Instituto De Previdência Do Servidor Municipal";"Receitas Correntes";"Receita de Contribuições";"11.953.585,50";"13.305.158,79";"13.534.161,85"
"Taquaritinga";"";"Instituto De Previdência Do Servidor Municipal";"Receitas Correntes";"Receita Patrimonial";"1.549.240,23";"329.881,82";"2.093.476,35"
"Taquaritinga";"";"Prefeitura Municipal De Taquaritinga";"Receitas Correntes";"Outras Receitas Correntes";"4.684.341,97";"4.908.129,63";"4.188.612,88"
"Taquaritinga";"";"Prefeitura Municipal De Taquaritinga";"Receitas Correntes";"Receita de Contribuições";"1.076.517,29";"1.107.474,21";"1.626.248,69"
"Taquaritinga";"";"Prefeitura Municipal De Taquaritinga";"Receitas Correntes";"Receita de Serviços";"91.200,30";"17.951,57";""
"Taquarituba";"";"Prefeitura Municipal De Taquarituba";"Receitas Correntes";"Receita de Contribuições";"494.888,72";"465.056,93";"503.550,23"
"Taquarituba";"";"Caixa De Aposentadoria Do Servidor Público";"Receitas Correntes";"Outras Receitas Correntes";"428.561,39";"511.259,97";"514.103,49"
"Taquarituba";"";"Caixa De Aposentadoria Do Servidor Público";"Receitas Correntes";"Receita de Contribuições";"3.719.455,35";"4.007.862,97";"4.361.707,26"
"Taquarituba";"";"Caixa De Aposentadoria Do Servidor Público";"Receitas Correntes";"Receita Patrimonial";"909.861,38";"766.041,69";"1.326.595,89"
"Taquarituba";"";"Prefeitura Municipal De Taquarituba";"Receitas Correntes";"Outras Receitas Correntes";"1.388.957,39";"1.336.282,26";"1.972.034,49"
"Taquarituba";"";"Prefeitura Municipal De Taquarituba";"Receitas Correntes";"Receita de Serviços";"12.317,30";"16.292,34";"19.664,18"
"Taquarituba";"";"Prefeitura Municipal De Taquarituba";"Receitas Correntes";"Receita Patrimonial";"286.174,81";"292.848,51";"656.295,30"
"Taquarituba";"";"Prefeitura Municipal De Taquarituba";"Receitas Correntes";"Receita Tributária";"5.503.473,42";"6.696.213,16";"7.052.280,91"
"Taquarituba";"";"Prefeitura Municipal De Taquarituba";"Receitas Correntes";"Transferências Correntes";"32.541.929,76";"37.603.751,56";"40.861.030,68"
"Taquarituba";"";"Prefeitura Municipal De Taquarituba";"Receitas de Capital";"Alienação de Bens";"104.524,58";"90.785,66";"176.810,00"
"Taquarituba";"";"Prefeitura Municipal De Taquarituba";"Receitas de Capital";"Transferências de Capital";"3.830.498,40";"1.922.772,27";"5.613.187,93"
"Taquarivaí";"";"Prefeitura Municipal De Taquarivaí";"Receitas Correntes";"Outras Receitas Correntes";"24.556,60";"62.196,65";"66.768,33"
"Taquarivaí";"";"Prefeitura Municipal De Taquarivaí";"Receitas Correntes";"Receita de Serviços";"20.372,40";"18.135,58";"20.793,50"
"Taquarivaí";"";"Prefeitura Municipal De Taquarivaí";"Receitas Correntes";"Receita Patrimonial";"56.041,50";"107.434,37";"210.237,61"
"Taquarivaí";"";"Prefeitura Municipal De Taquarivaí";"Receitas Correntes";"Receita Tributária";"883.988,38";"942.871,38";"982.424,82"
"Taquarivaí";"";"Prefeitura Municipal De Taquarivaí";"Receitas Correntes";"Transferências Correntes";"14.250.869,33";"15.989.592,95";"17.452.758,23"
"Taquarivaí";"";"Prefeitura Municipal De Taquarivaí";"Receitas de Capital";"Alienação de Bens";"";"";"112.100,00"
"Taquarivaí";"";"Prefeitura Municipal De Taquarivaí";"Receitas de Capital";"Transferências de Capital";"2.440.144,30";"1.157.852,93";"1.061.573,99"
"Tarabai";"";"Prefeitura Municipal De Tarabai";"Receitas Correntes";"Outras Receitas Correntes";"252.724,73";"1.527.657,62";"1.350.292,23"
"Tarabai";"";"Prefeitura Municipal De Tarabai";"Receitas Correntes";"Receita de Contribuições";"4.560,79";"3.696,35";"3.328,72"
"Tarabai";"";"Prefeitura Municipal De Tarabai";"Receitas Correntes";"Receita Patrimonial";"33.196,09";"57.403,96";"80.863,15"
"Tarabai";"";"Prefeitura Municipal De Tarabai";"Receitas Correntes";"Receita Tributária";"326.168,92";"604.646,33";"608.626,13"
"Tarabai";"";"Prefeitura Municipal De Tarabai";"Receitas Correntes";"Transferências Correntes";"13.441.472,65";"15.092.949,06";"15.995.902,81"
"Tarabai";"";"Prefeitura Municipal De Tarabai";"Receitas de Capital";"Alienação de Bens";"67.884,00";"302.000,00";"311.311,09"
"Tarabai";"";"Prefeitura Municipal De Tarabai";"Receitas de Capital";"Transferências de Capital";"648.411,57";"829.700,94";"1.125.465,28"
"Tarumã";"";"Fundo Municipal De Aposent.Pensao Func.Mun.Taruma";"Receitas Correntes";"Outras Receitas Correntes";"5.492,86";"32.920,52";"6.325,80"
"Tarumã";"";"Fundo Municipal De Aposent.Pensao Func.Mun.Taruma";"Receitas Correntes";"Receita de Contribuições";"2.165.028,71";"2.786.185,58";"2.926.407,56"
"Tarumã";"";"Fundo Municipal De Aposent.Pensao Func.Mun.Taruma";"Receitas Correntes";"Receita Patrimonial";"2.403.073,19";"1.366.946,11";"3.126.622,15"
"Tarumã";"";"Prefeitura Municipal De Tarumã";"Receitas Correntes";"Outras Receitas Correntes";"980.271,62";"918.724,17";"882.890,26"
"Tarumã";"";"Prefeitura Municipal De Tarumã";"Receitas Correntes";"Receita Patrimonial";"212.883,32";"238.138,73";"755.384,93"
"Tarumã";"";"Prefeitura Municipal De Tarumã";"Receitas Correntes";"Receita Tributária";"3.640.821,15";"4.991.735,63";"6.823.624,32"
"Tarumã";"";"Prefeitura Municipal De Tarumã";"Receitas Correntes";"Transferências Correntes";"30.949.784,60";"33.270.388,23";"35.576.353,48"
"Tarumã";"";"Prefeitura Municipal De Tarumã";"Receitas de Capital";"Alienação de Bens";"90.000,00";"49.800,00";""
"Tarumã";"";"Prefeitura Municipal De Tarumã";"Receitas de Capital";"Transferências de Capital";"2.647.990,66";"2.237.890,27";"4.397.347,56"
"Tatuí";"";"Fundação Manoel Guedes";"Receitas de Capital";"Alienação de Bens";"155.000,00";"";""
"Tatuí";"";"Fundação Manoel Guedes";"Receitas Correntes";"Receita de Serviços";"439.780,16";"198.940,00";"161.550,00"
"Tatuí";"";"Fundação Manoel Guedes";"Receitas Correntes";"Receita Patrimonial";"41.471,70";"18.576,90";"3.191,49"
"Tatuí";"";"Instituto De Previdência Do Município De Tatuí";"Receitas Correntes";"Outras Receitas Correntes";"432.237,77";"1.637.397,07";"3.114.208,54"
"Tatuí";"";"Instituto De Previdência Do Município De Tatuí";"Receitas Correntes";"Receita de Contribuições";"15.910.904,86";"18.949.013,07";"16.977.628,34"
"Tatuí";"";"Instituto De Previdência Do Município De Tatuí";"Receitas Correntes";"Receita Patrimonial";"8.389.476,39";"-1.126.538,96";""
"Tatuí";"";"Prefeitura Municipal De Tatuí";"Receitas Correntes";"Outras Receitas Correntes";"8.187.686,02";"7.337.666,08";"6.490.384,76"
"Tatuí";"";"Prefeitura Municipal De Tatuí";"Receitas Correntes";"Receita de Contribuições";"1.838.026,33";"1.985.421,93";"2.087.674,02"
"Tatuí";"";"Prefeitura Municipal De Tatuí";"Receitas Correntes";"Receita de Serviços";"307.638,86";"323.590,14";"365.438,23"
"Tatuí";"";"Prefeitura Municipal De Tatuí";"Receitas Correntes";"Receita Patrimonial";"311.207,09";"758.686,74";"1.231.335,33"
"Tatuí";"";"Prefeitura Municipal De Tatuí";"Receitas Correntes";"Receita Tributária";"37.393.089,59";"42.724.016,52";"50.687.936,12"
"Tatuí";"";"Prefeitura Municipal De Tatuí";"Receitas Correntes";"Transferências Correntes";"149.006.613,60";"168.387.035,59";"175.045.864,42"
"Tatuí";"";"Prefeitura Municipal De Tatuí";"Receitas de Capital";"Alienação de Bens";"226.500,00";"";"152.600,00"
"Tatuí";"";"Prefeitura Municipal De Tatuí";"Receitas de Capital";"Operações de Crédito";"5.608.275,16";"978.585,65";"776.892,05"
"Tatuí";"";"Prefeitura Municipal De Tatuí";"Receitas de Capital";"Transferências de Capital";"6.261.359,41";"6.192.270,33";"4.538.120,92"
"Taubaté";"";"I.P.M.T. - Instituto De Prev. Do Municipio De Taubaté";"Receitas Correntes";"Outras Receitas Correntes";"1.861,06";"2.661.278,96";"301.191,72"
"Taubaté";"";"I.P.M.T. - Instituto De Prev. Do Municipio De Taubaté";"Receitas Correntes";"Receita de Contribuições";"84.316.341,30";"97.402.960,84";"106.346.404,65"
"Taubaté";"";"I.P.M.T. - Instituto De Prev. Do Municipio De Taubaté";"Receitas Correntes";"Receita Patrimonial";"20.491.221,69";"2.552.907,66";"10.271.738,30"
"Taubaté";"";"Prefeitura Municipal De Taubaté";"Receitas Correntes";"Outras Receitas Correntes";"19.436.619,64";"36.283.105,34";"22.802.326,07"
"Taubaté";"";"Prefeitura Municipal De Taubaté";"Receitas Correntes";"Receita de Serviços";"2.931.064,75";"4.093.441,96";"5.077.959,02"
"Taubaté";"";"Prefeitura Municipal De Taubaté";"Receitas Correntes";"Receita Patrimonial";"4.822.952,31";"8.360.652,82";"14.556.100,24"
"Taubaté";"";"Prefeitura Municipal De Taubaté";"Receitas Correntes";"Receita Tributária";"154.506.915,53";"166.512.377,94";"184.181.779,68"
"Taubaté";"";"Prefeitura Municipal De Taubaté";"Receitas Correntes";"Transferências Correntes";"442.033.616,04";"489.187.022,51";"493.849.329,92"
"Taubaté";"";"Prefeitura Municipal De Taubaté";"Receitas de Capital";"Alienação de Bens";"148.223,00";"";"261.038,00"
"Taubaté";"";"Prefeitura Municipal De Taubaté";"Receitas de Capital";"Amortização de Empréstimos";"14.457,94";"89.455,82";"42.227,54"
"Taubaté";"";"Prefeitura Municipal De Taubaté";"Receitas de Capital";"Transferências de Capital";"1.106.179,79";"561.782,00";"5.994.769,51"
"Tejupá";"";"Prefeitura Municipal De Tejupá";"Receitas Correntes";"Outras Receitas Correntes";"116.095,27";"130.542,28";"259.340,72"
"Tejupá";"";"Prefeitura Municipal De Tejupá";"Receitas Correntes";"Receita Patrimonial";"43.409,17";"84.582,33";"128.905,61"
"Tejupá";"";"Prefeitura Municipal De Tejupá";"Receitas Correntes";"Receita Tributária";"571.963,54";"492.519,85";"501.201,22"
"Tejupá";"";"Prefeitura Municipal De Tejupá";"Receitas Correntes";"Transferências Correntes";"12.036.352,69";"13.445.241,32";"14.543.511,22"
"Tejupá";"";"Prefeitura Municipal De Tejupá";"Receitas de Capital";"Alienação de Bens";"";"100.850,00";""
"Tejupá";"";"Prefeitura Municipal De Tejupá";"Receitas de Capital";"Transferências de Capital";"539.129,97";"673.396,02";"1.653.456,97"
"Teodoro Sampaio";"";"Prefeitura Municipal De Teodoro Sampaio";"Receitas Correntes";"Outras Receitas Correntes";"1.344.936,43";"1.922.391,69";"3.964.653,71"
"Teodoro Sampaio";"";"Prefeitura Municipal De Teodoro Sampaio";"Receitas Correntes";"Receita de Contribuições";"446.883,69";"480.666,16";"495.495,15"
"Teodoro Sampaio";"";"Prefeitura Municipal De Teodoro Sampaio";"Receitas Correntes";"Receita de Serviços";"31.454,79";"2.842,06";"1.132,03"
"Teodoro Sampaio";"";"Prefeitura Municipal De Teodoro Sampaio";"Receitas Correntes";"Receita Patrimonial";"141.551,26";"159.685,09";"189.747,70"
"Teodoro Sampaio";"";"Prefeitura Municipal De Teodoro Sampaio";"Receitas Correntes";"Receita Tributária";"3.726.166,86";"4.158.826,33";"4.123.856,31"
"Teodoro Sampaio";"";"Prefeitura Municipal De Teodoro Sampaio";"Receitas Correntes";"Transferências Correntes";"40.741.974,84";"45.399.614,13";"48.857.910,34"
"Teodoro Sampaio";"";"Prefeitura Municipal De Teodoro Sampaio";"Receitas de Capital";"Alienação de Bens";"";"597.000,00";""
"Teodoro Sampaio";"";"Prefeitura Municipal De Teodoro Sampaio";"Receitas de Capital";"Transferências de Capital";"5.424.489,63";"1.137.606,46";"3.693.213,19"
"Terra Roxa";"";"Instituto De Previdência Social Do Município De Terra Roxa";"Receitas Correntes";"Receita de Contribuições";"";"";"545.861,65"
"Terra Roxa";"";"Instituto De Previdência Social Do Município De Terra Roxa";"Receitas Correntes";"Receita Patrimonial";"";"";"9.877,98"
"Terra Roxa";"";"Prefeitura Municipal De Terra Roxa";"Receitas Correntes";"Outras Receitas Correntes";"238.560,73";"606.605,27";"566.831,46"
"Terra Roxa";"";"Prefeitura Municipal De Terra Roxa";"Receitas Correntes";"Receita de Contribuições";"";"27.682,86";"19.431,52"
"Terra Roxa";"";"Prefeitura Municipal De Terra Roxa";"Receitas Correntes";"Receita de Serviços";"12.832,98";"28.280,64";"25.767,77"
"Terra Roxa";"";"Prefeitura Municipal De Terra Roxa";"Receitas Correntes";"Receita Patrimonial";"305.112,06";"53.280,47";"83.817,71"
"Terra Roxa";"";"Prefeitura Municipal De Terra Roxa";"Receitas Correntes";"Receita Tributária";"647.623,73";"898.985,46";"1.419.095,15"
"Terra Roxa";"";"Prefeitura Municipal De Terra Roxa";"Receitas Correntes";"Transferências Correntes";"17.080.818,17";"19.127.409,59";"21.600.471,34"
"Terra Roxa";"";"Prefeitura Municipal De Terra Roxa";"Receitas de Capital";"Alienação de Bens";"";"109.500,00";""
"Terra Roxa";"";"Prefeitura Municipal De Terra Roxa";"Receitas de Capital";"Transferências de Capital";"410.967,74";"";"300.000,00"
"Tietê";"";"Prefeitura Municipal De Tietê";"Receitas Correntes";"Outras Receitas Correntes";"2.585.990,98";"2.437.334,10";"2.692.973,54"
"Tietê";"";"Prefeitura Municipal De Tietê";"Receitas Correntes";"Receita de Contribuições";"822.224,12";"733.092,78";"819.581,75"
"Tietê";"";"Prefeitura Municipal De Tietê";"Receitas Correntes";"Receita Patrimonial";"567.515,35";"754.861,86";"913.112,76"
"Tietê";"";"Prefeitura Municipal De Tietê";"Receitas Correntes";"Receita Tributária";"14.681.092,36";"16.173.241,79";"19.561.161,38"
"Tietê";"";"Prefeitura Municipal De Tietê";"Receitas Correntes";"Transferências Correntes";"66.665.055,09";"77.155.818,74";"82.794.004,59"
"Tietê";"";"Prefeitura Municipal De Tietê";"Receitas de Capital";"Alienação de Bens";"";"23.200,00";"13.800,00"
"Tietê";"";"Prefeitura Municipal De Tietê";"Receitas de Capital";"Operações de Crédito";"309.871,60";"142.711,11";"384.543,91"
"Tietê";"";"Prefeitura Municipal De Tietê";"Receitas de Capital";"Transferências de Capital";"1.882.017,51";"1.743.776,48";"2.278.028,39"
"Tietê";"";"Samae-Serv.Autonomo Municipal Agua E Esgoto";"Receitas Correntes";"Outras Receitas Correntes";"455.024,55";"841.387,23";"798.111,47"
"Tietê";"";"Samae-Serv.Autonomo Municipal Agua E Esgoto";"Receitas Correntes";"Receita de Serviços";"6.546.354,27";"7.071.681,35";"7.849.633,80"
"Tietê";"";"Samae-Serv.Autonomo Municipal Agua E Esgoto";"Receitas Correntes";"Receita Patrimonial";"101.610,08";"83.005,40";"122.086,54"
"Tietê";"";"Samae-Serv.Autonomo Municipal Agua E Esgoto";"Receitas Correntes";"Receita Tributária";"44.926,30";"21.071,62";"43.647,21"
"Tietê";"";"Samae-Serv.Autonomo Municipal Agua E Esgoto";"Receitas de Capital";"Alienação de Bens";"";"1.883,00";""
"Tietê";"";"Samae-Serv.Autonomo Municipal Agua E Esgoto";"Receitas de Capital";"Transferências de Capital";"96.328,28";"8.975,80";"205.909,37"
"Timburi";"";"Prefeitura Municipal De Timburi";"Receitas Correntes";"Transferências Correntes";"9.470.776,07";"10.638.323,07";"11.185.427,07"
"Timburi";"";"Prefeitura Municipal De Timburi";"Receitas Correntes";"Outras Receitas Correntes";"172.585,70";"178.810,30";"82.438,30"
"Timburi";"";"Prefeitura Municipal De Timburi";"Receitas Correntes";"Receita de Serviços";"";"1.068,94";""
"Timburi";"";"Prefeitura Municipal De Timburi";"Receitas Correntes";"Receita Patrimonial";"45.937,72";"76.167,28";"111.026,01"
"Timburi";"";"Prefeitura Municipal De Timburi";"Receitas Correntes";"Receita Tributária";"413.063,56";"561.866,90";"586.094,44"
"Timburi";"";"Prefeitura Municipal De Timburi";"Receitas de Capital";"Transferências de Capital";"321.070,30";"6.321,00";"639.525,36"
"Torre de Pedra";"";"Prefeitura Municipal De Torre De Pedra";"Receitas Correntes";"Outras Receitas Correntes";"11.285,25";"109.766,99";"107.221,09"
"Torre de Pedra";"";"Prefeitura Municipal De Torre De Pedra";"Receitas Correntes";"Transferências Correntes";"7.371.773,58";"8.321.241,11";"9.647.435,44"
"Torre de Pedra";"";"Prefeitura Municipal De Torre De Pedra";"Receitas de Capital";"Transferências de Capital";"1.354.583,76";"394.200,00";"1.986.124,78"
"Torre de Pedra";"";"Prefeitura Municipal De Torre De Pedra";"Receitas Correntes";"Receita de Serviços";"";"";"5.310,00"
"Torre de Pedra";"";"Prefeitura Municipal De Torre De Pedra";"Receitas Correntes";"Receita Patrimonial";"44.173,52";"29.651,37";"66.288,75"
"Torre de Pedra";"";"Prefeitura Municipal De Torre De Pedra";"Receitas Correntes";"Receita Tributária";"289.620,27";"202.386,28";"227.130,53"
"Torrinha";"";"Prefeitura Municipal De Torrinha";"Receitas de Capital";"Transferências de Capital";"1.710.595,16";"701.161,47";"204.686,84"
"Torrinha";"";"Prefeitura Municipal De Torrinha";"Receitas Correntes";"Transferências Correntes";"13.716.174,03";"16.493.714,20";"17.736.176,42"
"Torrinha";"";"Prefeitura Municipal De Torrinha";"Receitas Correntes";"Outras Receitas Correntes";"367.790,88";"826.452,67";"532.839,81"
"Torrinha";"";"Prefeitura Municipal De Torrinha";"Receitas Correntes";"Receita de Serviços";"872.982,18";"775.230,34";"1.356,42"
"Torrinha";"";"Prefeitura Municipal De Torrinha";"Receitas Correntes";"Receita Patrimonial";"44.486,62";"249.520,35";"187.601,05"
"Torrinha";"";"Prefeitura Municipal De Torrinha";"Receitas Correntes";"Receita Tributária";"1.538.191,76";"1.875.470,23";"2.238.148,76"
"Torrinha";"";"Prefeitura Municipal De Torrinha";"Receitas de Capital";"Alienação de Bens";"20.036,00";"58.003,30";"33.833,33"
"Trabiju";"";"Prefeitura Municipal De Trabiju";"Receitas Correntes";"Outras Receitas Correntes";"51.279,03";"65.788,38";"56.025,20"
"Trabiju";"";"Prefeitura Municipal De Trabiju";"Receitas Correntes";"Receita de Serviços";"31.985,65";"33.705,33";"33.972,28"
"Trabiju";"";"Prefeitura Municipal De Trabiju";"Receitas Correntes";"Receita Patrimonial";"45.024,54";"83.763,92";"123.065,18"
"Trabiju";"";"Prefeitura Municipal De Trabiju";"Receitas Correntes";"Receita Tributária";"229.380,33";"234.896,59";"297.849,86"
"Trabiju";"";"Prefeitura Municipal De Trabiju";"Receitas Correntes";"Transferências Correntes";"8.156.331,79";"9.142.570,99";"9.625.670,83"
"Trabiju";"";"Prefeitura Municipal De Trabiju";"Receitas de Capital";"Alienação de Bens";"4.608,98";"1.454,50";"55.600,00"
"Trabiju";"";"Prefeitura Municipal De Trabiju";"Receitas de Capital";"Outras Receitas de Capital";"121,31";"";""
"Trabiju";"";"Prefeitura Municipal De Trabiju";"Receitas de Capital";"Transferências de Capital";"739.247,91";"627.428,90";"1.339.073,36"
"Tremembé";"";"Prefeitura Municipal De Tremembé";"Receitas Correntes";"Outras Receitas Correntes";"3.738.139,64";"4.434.893,99";"5.325.434,44"
"Tremembé";"";"Prefeitura Municipal De Tremembé";"Receitas Correntes";"Receita de Contribuições";"636.209,34";"780.651,64";"489.831,84"
"Tremembé";"";"Prefeitura Municipal De Tremembé";"Receitas Correntes";"Receita de Serviços";"11.498,40";"127.964,59";"69.246,93"
"Tremembé";"";"Prefeitura Municipal De Tremembé";"Receitas Correntes";"Receita Patrimonial";"248.484,14";"312.062,57";"766.304,45"
"Tremembé";"";"Prefeitura Municipal De Tremembé";"Receitas Correntes";"Receita Tributária";"16.641.428,57";"17.814.185,96";"20.162.080,05"
"Tremembé";"";"Prefeitura Municipal De Tremembé";"Receitas Correntes";"Transferências Correntes";"49.972.430,96";"55.610.572,87";"60.323.089,94"
"Tremembé";"";"Prefeitura Municipal De Tremembé";"Receitas de Capital";"Alienação de Bens";"10.825,00";"11.850,00";""
"Tremembé";"";"Prefeitura Municipal De Tremembé";"Receitas de Capital";"Outras Receitas de Capital";"";"1.924.905,16";"350.270,44"
"Tremembé";"";"Prefeitura Municipal De Tremembé";"Receitas de Capital";"Transferências de Capital";"3.871.607,55";"2.956.450,04";"6.351.531,78"
"Três Fronteiras";"";"Prefeitura Municipal De Três Fronteiras";"Receitas Correntes";"Outras Receitas Correntes";"300.763,11";"234.014,30";"281.664,25"
"Três Fronteiras";"";"Prefeitura Municipal De Três Fronteiras";"Receitas Correntes";"Receita de Contribuições";"87.112,40";"86.348,02";"92.916,28"
"Três Fronteiras";"";"Prefeitura Municipal De Três Fronteiras";"Receitas Correntes";"Receita de Serviços";"15.571,51";"24.515,92";"27.553,21"
"Três Fronteiras";"";"Prefeitura Municipal De Três Fronteiras";"Receitas Correntes";"Receita Patrimonial";"70.011,94";"116.421,89";"211.037,34"
"Três Fronteiras";"";"Prefeitura Municipal De Três Fronteiras";"Receitas Correntes";"Receita Tributária";"1.455.183,90";"1.174.182,45";"1.313.530,55"
"Três Fronteiras";"";"Prefeitura Municipal De Três Fronteiras";"Receitas Correntes";"Transferências Correntes";"10.446.729,85";"11.975.460,93";"12.326.024,52"
"Três Fronteiras";"";"Prefeitura Municipal De Três Fronteiras";"Receitas de Capital";"Alienação de Bens";"4.000,00";"23.113,50";"37.301,00"
"Três Fronteiras";"";"Prefeitura Municipal De Três Fronteiras";"Receitas de Capital";"Transferências de Capital";"1.957.545,07";"1.148.287,78";"6.990.193,20"
"Tuiuti";"";"Prefeitura Municipal De Tuiuti";"Receitas Correntes";"Outras Receitas Correntes";"70.325,74";"142.765,38";"137.055,24"
"Tuiuti";"";"Prefeitura Municipal De Tuiuti";"Receitas Correntes";"Receita de Serviços";"292.180,31";"412.133,71";"504.950,83"
"Tuiuti";"";"Prefeitura Municipal De Tuiuti";"Receitas Correntes";"Receita Patrimonial";"54.003,41";"93.497,90";"120.785,18"
"Tuiuti";"";"Prefeitura Municipal De Tuiuti";"Receitas Correntes";"Receita Tributária";"541.112,41";"793.635,62";"1.217.144,13"
"Tuiuti";"";"Prefeitura Municipal De Tuiuti";"Receitas Correntes";"Transferências Correntes";"11.778.032,64";"14.241.829,99";"13.740.253,61"
"Tuiuti";"";"Prefeitura Municipal De Tuiuti";"Receitas de Capital";"Alienação de Bens";"";"";"25.875,00"
"Tuiuti";"";"Prefeitura Municipal De Tuiuti";"Receitas de Capital";"Transferências de Capital";"550.000,00";"";"214.025,00"
"Tupã";"";"Prefeitura Municipal De Tupã";"Receitas Correntes";"Receita Agropecuária";"3.422,25";"2.896,00";""
"Tupã";"";"Prefeitura Municipal De Tupã";"Receitas Correntes";"Outras Receitas Correntes";"6.619.710,49";"6.234.959,85";"6.386.850,24"
"Tupã";"";"Prefeitura Municipal De Tupã";"Receitas Correntes";"Receita de Contribuições";"2.692.582,06";"2.685.860,57";"3.141.522,70"
"Tupã";"";"Prefeitura Municipal De Tupã";"Receitas Correntes";"Receita de Serviços";"83.684,32";"50.231,21";"155.834,02"
"Tupã";"";"Prefeitura Municipal De Tupã";"Receitas Correntes";"Receita Patrimonial";"942.986,69";"686.498,05";"806.250,50"
"Tupã";"";"Prefeitura Municipal De Tupã";"Receitas Correntes";"Receita Tributária";"24.172.325,91";"26.966.285,24";"30.088.763,25"
"Tupã";"";"Prefeitura Municipal De Tupã";"Receitas Correntes";"Transferências Correntes";"66.926.559,54";"76.384.788,19";"79.749.933,69"
"Tupã";"";"Prefeitura Municipal De Tupã";"Receitas de Capital";"Alienação de Bens";"";"245.097,86";"13.823,50"
"Tupã";"";"Prefeitura Municipal De Tupã";"Receitas de Capital";"Operações de Crédito";"3.992.156,53";"";""
"Tupã";"";"Prefeitura Municipal De Tupã";"Receitas de Capital";"Transferências de Capital";"8.088.613,15";"3.771.484,15";"3.874.697,44"
"Tupi Paulista";"";"Prefeitura Municipal De Tupi Paulista";"Receitas de Capital";"Transferências de Capital";"2.685.931,48";"1.561.221,38";"2.902.639,99"
"Tupi Paulista";"";"Prefeitura Municipal De Tupi Paulista";"Receitas Correntes";"Outras Receitas Correntes";"1.013.934,20";"2.416.380,15";"4.466.381,73"
"Tupi Paulista";"";"Prefeitura Municipal De Tupi Paulista";"Receitas Correntes";"Receita de Contribuições";"329.890,47";"342.516,64";"342.479,10"
"Tupi Paulista";"";"Prefeitura Municipal De Tupi Paulista";"Receitas Correntes";"Receita de Serviços";"1.252.070,35";"1.302.772,79";"1.550.435,83"
"Tupi Paulista";"";"Prefeitura Municipal De Tupi Paulista";"Receitas Correntes";"Receita Patrimonial";"145.890,39";"117.510,72";"257.016,16"
"Tupi Paulista";"";"Prefeitura Municipal De Tupi Paulista";"Receitas Correntes";"Receita Tributária";"2.595.115,63";"3.059.258,63";"3.380.785,98"
"Tupi Paulista";"";"Prefeitura Municipal De Tupi Paulista";"Receitas Correntes";"Transferências Correntes";"21.503.944,70";"24.723.755,54";"26.139.807,08"
"Tupi Paulista";"";"Prefeitura Municipal De Tupi Paulista";"Receitas de Capital";"Alienação de Bens";"110.272,50";"25.520,00";""
"Turiúba";"";"Instituto De Previdencia Do Municipio De Turiuba";"Receitas Correntes";"Receita de Contribuições";"925.727,19";"1.448.357,85";"1.585.657,33"
"Turiúba";"";"Instituto De Previdencia Do Municipio De Turiuba";"Receitas Correntes";"Receita Patrimonial";"664.542,22";"22.836,15";"455.219,00"
"Turiúba";"";"Prefeitura Municipal De Turiúba";"Receitas Correntes";"Receita Agropecuária";"6.420,00";"34.016,09";"45.213,54"
"Turiúba";"";"Prefeitura Municipal De Turiúba";"Receitas Correntes";"Outras Receitas Correntes";"49.908,40";"60.468,65";"342.940,09"
"Turiúba";"";"Prefeitura Municipal De Turiúba";"Receitas Correntes";"Receita de Serviços";"";"";"61,50"
"Turiúba";"";"Prefeitura Municipal De Turiúba";"Receitas Correntes";"Receita Patrimonial";"15.738,23";"126.432,86";"38.476,29"
"Turiúba";"";"Prefeitura Municipal De Turiúba";"Receitas Correntes";"Receita Tributária";"406.350,86";"425.758,23";"358.880,01"
"Turiúba";"";"Prefeitura Municipal De Turiúba";"Receitas Correntes";"Transferências Correntes";"8.688.954,02";"9.739.408,79";"10.139.336,92"
"Turiúba";"";"Instituto De Previdencia Do Municipio De Turiuba";"Receitas Correntes";"Outras Receitas Correntes";"107.412,77";"212.814,66";"102.366,18"
"Turiúba";"";"Prefeitura Municipal De Turiúba";"Receitas de Capital";"Alienação de Bens";"23.150,00";"";""
"Turiúba";"";"Prefeitura Municipal De Turiúba";"Receitas de Capital";"Outras Receitas de Capital";"";"48.000,00";""
"Turiúba";"";"Prefeitura Municipal De Turiúba";"Receitas de Capital";"Transferências de Capital";"465.117,01";"233.399,25";"806.388,91"
"Turmalina";"";"Instituto De Previdencia Do Municipio De Turmalina";"Receitas Correntes";"Outras Receitas Correntes";"101.811,19";"127.201,20";"190.397,07"
"Turmalina";"";"Instituto De Previdencia Do Municipio De Turmalina";"Receitas Correntes";"Receita de Contribuições";"900.259,16";"787.599,30";"1.169.626,17"
"Turmalina";"";"Instituto De Previdencia Do Municipio De Turmalina";"Receitas Correntes";"Receita Patrimonial";"556.240,57";"";""
"Turmalina";"";"Prefeitura Municipal De Turmalina";"Receitas Correntes";"Outras Receitas Correntes";"111.131,24";"89.061,38";"137.010,90"
"Turmalina";"";"Prefeitura Municipal De Turmalina";"Receitas Correntes";"Receita de Serviços";"269,20";"1.700,50";"2.595,50"
